config_id,size,seed,total_distance,vehicle_count,feasible,convergence_iter,wall_time_sec
C3,100,26,612.9554802099981,8,True,24,4.811535792076029
C3,100,27,603.5214285704557,8,True,34,4.495296707958914
C3,100,28,611.2288920765565,8,True,43,3.8870675830403343
C3,100,29,585.1816182286323,8,True,34,4.052594249951653
C4,25,0,239.00198678350404,3,True,29,0.3602762499358505
C4,25,1,237.0668281405428,3,True,54,0.3587163749616593
C4,25,2,230.5436214312534,3,True,27,0.3501283749938011
C4,25,3,233.7947586730944,3,True,26,0.363336082897149
C4,25,4,236.583614470278,3,True,69,0.3715344580123201
C4,25,5,231.90070246038331,3,True,71,0.3555998330703005
C4,25,6,236.18512937338943,3,True,33,0.3684843749506399
C4,25,7,231.53267820198928,3,True,46,0.35478470800444484
C4,25,8,237.702660655156,3,True,72,0.354458374902606
C4,25,9,229.23107150471597,3,True,77,0.36890412494540215
C4,25,10,237.3738359732934,3,True,38,0.37965720798820257
C4,25,11,236.24008511277384,3,True,46,0.3726215419592336
C4,25,12,260.88853524774487,3,True,10,0.37295070895925164
C4,25,13,230.81425364486051,3,True,58,0.36364662495907396
C4,25,14,232.52225656811592,3,True,49,0.36054520902689546
C4,25,15,234.5233992782688,3,True,79,0.37529929203446954
C4,25,16,238.30921520694295,3,True,92,0.36957058298867196
C4,25,17,236.24008511277384,3,True,51,0.37130954198073596
C4,25,18,236.2418542880677,3,True,28,0.4055181660223752
C4,25,19,234.9259881175048,3,True,25,0.40707004093565047
C4,25,20,235.3533686987596,3,True,46,0.3949956250144169
C4,25,21,230.14052525328964,3,True,28,0.38230912503786385
C4,25,22,255.45894435716917,3,True,16,0.4144752920838073
C4,25,23,241.44504710008613,3,True,91,0.39035150001291186
C4,25,24,235.3170190044985,3,True,52,0.3972252090461552
C4,25,25,238.84713249874653,3,True,58,0.38541350001469254
C4,25,26,236.9422114716071,3,True,57,0.38938433409202844
C4,25,27,231.89349889580103,3,True,30,0.37390537501778454
C4,25,28,233.62200015906072,3,True,71,0.37229862506501377
C4,25,29,227.63716346257038,3,True,58,0.388771333033219
C4,50,0,389.3219320010591,5,True,29,1.1373202920658514
C4,50,1,403.02609625687177,5,True,10,1.081116541987285
C4,50,2,407.46301870660693,5,True,19,1.0884949999162927
C4,50,3,378.9596613202458,5,True,40,1.0995547079946846
C4,50,4,384.7122110760358,5,True,43,1.148247916949913
C4,50,5,405.0282573813921,5,True,18,1.1414756670128554
C4,50,6,404.94699635116405,5,True,19,1.1475165829760954
C4,50,7,403.29552990393506,5,True,23,1.1712286670226604
C4,50,8,376.16090791054756,5,True,22,1.1535665830597281
C4,50,9,413.3658544304618,5,True,13,1.160163375083357
C4,50,10,382.10615358002286,5,True,27,1.18851624999661
C4,50,11,376.0819042577592,5,True,54,1.1937894580187276
C4,50,12,413.98576843796354,5,True,15,1.2121636250521988
C4,50,13,378.5249380590714,5,True,59,1.1766995419748127
C4,50,14,380.5372774670823,5,True,23,1.2564451670041308
C4,50,15,377.71335729877177,5,True,36,1.1155582499923185
C4,50,16,376.8945273084221,5,True,47,1.0158936670050025
C4,50,17,408.7502897383365,5,True,13,0.9694715000223368
C4,50,18,419.4826601671174,5,True,6,0.9726147500332445
C4,50,19,401.2671756707339,5,True,18,0.9980879590148106
C4,50,20,404.154968943467,5,True,23,1.0311277080327272
C4,50,21,376.8945273084221,5,True,66,1.005015124916099
C4,50,22,380.23023883647295,5,True,30,1.0270470000104979
C4,50,23,375.32819249163725,5,True,21,1.0279350420460105
C4,50,24,376.10062008742545,5,True,19,1.0899363750359043
C4,50,25,381.5885508324546,5,True,70,1.0971282500540838
C4,50,26,411.70773878452496,5,True,20,1.0524443340254948
C4,50,27,423.5347843420944,5,True,0,1.0964058339595795
C4,50,28,381.9120898529991,5,True,20,1.063942625070922
C4,50,29,416.71881051490175,5,True,7,1.0839988340158015
C4,100,0,622.980538503847,8,True,6,4.308499665930867
C4,100,1,625.7240328332399,8,True,16,4.560103332973085
C4,100,2,607.4799721758578,8,True,21,5.193143374985084
C4,100,3,623.9598218377012,8,True,16,4.872918750043027
C4,100,4,577.500057324293,8,True,38,4.955179124954157
C4,100,5,618.8072814833798,8,True,11,4.993146082968451
C4,100,6,596.2128267252372,8,True,32,5.342022083001211
C4,100,7,606.27154557118,8,True,0,5.209506499930285
